date,age_group,bachelors,quintile,employment,respondents
2015-12-01,22-25,False,4,718.3,264
2015-12-01,22-25,False,5,1368.6,470
2015-12-01,22-25,True,1,191.1,74
2015-12-01,22-25,True,2,675.4,223
2015-12-01,22-25,True,3,858.6,310
2015-12-01,22-25,True,4,908.4,317
2015-12-01,22-25,True,5,1130.6,386
2015-12-01,26-30,False,1,3275.5,1173
2015-12-01,26-30,False,2,2749.8,998
2015-12-01,26-30,False,3,1262.2,465
2015-12-01,26-30,False,4,1210.0,435
2015-12-01,26-30,False,5,1481.3,549
2015-12-01,26-30,True,1,306.7,123
2015-12-01,26-30,True,2,935.2,335
2015-12-01,26-30,True,3,1679.5,641
2015-12-01,26-30,True,4,1757.3,656
2015-12-01,26-30,True,5,1846.0,702
2015-12-01,31-40,False,1,5940.1,2320
2015-12-01,31-40,False,2,4542.5,1813
2015-12-01,31-40,False,3,2560.2,1065
2015-12-01,31-40,False,4,2501.3,1037
2015-12-01,31-40,False,5,3045.6,1236
2015-12-01,31-40,True,1,565.9,227
2015-12-01,31-40,True,2,1716.8,672
2015-12-01,31-40,True,3,3638.0,1496
2015-12-01,31-40,True,4,3842.5,1591
2015-12-01,31-40,True,5,3575.6,1401
2015-12-01,41+,False,1,13841.0,5717
2015-12-01,41+,False,2,11089.0,4692
2015-12-01,41+,False,3,6810.1,3005
2015-12-01,41+,False,4,7352.3,3154
2015-12-01,41+,False,5,9169.5,3924
2015-12-01,41+,True,1,1273.3,534
2015-12-01,41+,True,2,3735.0,1543
2015-12-01,41+,True,3,8666.6,3739
2015-12-01,41+,True,4,9824.8,4112
2015-12-01,41+,True,5,7393.8,3060
2016-01-01,16-21,False,1,3140.1,1217
2016-01-01,16-21,False,2,3326.5,1299
2016-01-01,16-21,False,3,1025.3,383
2016-01-01,16-21,False,4,644.7,232
2016-01-01,16-21,False,5,1029.6,402
2016-01-01,16-21,True,1,10.9,4
2016-01-01,16-21,True,2,42.4,15
2016-01-01,16-21,True,3,26.1,7
2016-01-01,16-21,True,4,14.4,6
2016-01-01,16-21,True,5,44.7,17
2016-01-01,22-25,False,1,2832.1,1032
2016-01-01,22-25,False,2,2669.7,993
2016-01-01,22-25,False,3,966.5,366
2016-01-01,22-25,False,4,761.9,282
2016-01-01,22-25,False,5,1446.2,506
2016-01-01,22-25,True,1,180.4,71
2016-01-01,22-25,True,2,589.5,205
2016-01-01,22-25,True,3,837.4,298
2016-01-01,22-25,True,4,863.7,303
2016-01-01,22-25,True,5,1182.3,404
2016-01-01,26-30,False,1,3227.2,1161
2016-01-01,26-30,False,2,2741.6,1005
2016-01-01,26-30,False,3,1156.4,438
2016-01-01,26-30,False,4,1218.5,439
2016-01-01,26-30,False,5,1620.2,598
2016-01-01,26-30,True,1,297.2,118
2016-01-01,26-30,True,2,950.3,350
2016-01-01,26-30,True,3,1756.1,668
2016-01-01,26-30,True,4,1751.8,658
2016-01-01,26-30,True,5,1895.8,715
2016-01-01,31-40,False,1,5957.6,2318
2016-01-01,31-40,False,2,4716.8,1880
2016-01-01,31-40,False,3,2393.3,1015
